Nombre,Precio,Cantidad Ventas,Calificacion Producto,Cantidad Opiniones,Vendedor,Descripcion,Rating Vendedor,Comentarios
Silla Ejecutiva Magnux Ergonómica Negra Con Tapizado Mesh Color Negro,154900,10000,5.0,13,OFFERBUYS,"======-- DISTRIMAK.CO --======Portátil Lenovo Ryzen 5 5500u RAM 24gb Solido 512gb 15.6""Un maestro de la multitareaTrabaja de manera Smart y sin problemas todos los días en múltiples aplicaciones a la vez durante tus desplazamientos con el sólido rendimiento de hasta los últimos procesadores AMD y gran capacidad de memoria, mejorado por el rendimiento adaptativo de Smart Power. Almacena y accede rápidamente a tu enorme biblioteca de archivos multimedia con gran capacidad de almacenamiento SSD.IA que mejora tu experienciaEl aprendizaje más Smart comienza con funciones más Smart impulsadas por Lenovo AI Engine. Maximiza el rendimiento, la duración de la batería y las temperaturas térmicas en función de lo que estés haciendo con la función adaptativa Smart Power. Todo ello mientras mejoras la conectividad a través de Smart Wireless. Protege tu ordenador frente a daños con funciones de seguridad integradas como Natural File Guard mientras minimizas el ruido de fondo con la cancelación de ruido.======|| ESPECIFICACIONES DETALLADAS ||======CONDICIONESProducto NuevoMarca LENOVOColor Abyss Blue PROCESADOR:AMD Ryzen 5 5500U6 NUCLEOS / 12 HILOSFRECUENCIA BASE 2.1 GHzFREC. MAX 4.0 GHzMEMORIA TOTAL24gb de Ram ALMACENAMIENTO:Disco Solido M.2 PCIe de 512 GBTARJETA DE VÍDEO:Gráficos AMD Radeon integradosPANTALLA:15.6"" FHD (1920x1080) TN 220nits Antirreflejos-Sistema operativo: Se envía con Windows y Office INSTALADOS NO ACTIVADOS.PUERTOS:1x USB 2.01x USB 3.2 Gen 11x USB-C® 3.2 Gen 1 (solo admite transferencia de datos)1x HDMI® 1.4b1x conector combinado de auriculares/micrófono (3,5 mm)1x Lector de tarjetas1x Conector de alimentaciónDIMENSIONES:360,2 x 236 x 17,9 mm (14,18 x 9,29 x 0,70 pulgadas)A partir de 1,61 kg (3,55 libras)CÁMARA:HD 720p con obturador de privacidadAUDIO Y PARLANTES:Altavoces estéreo, 1,5 W x2, Dolby® Audio™TECLADO:Sin Iluminación, Español con ÑCONECTIVIDAD:Sin Ethernet integradoWiFi + Bluetooth11ac 2x2+BT5.1MATERIALPC-ABS (Arriba)PC-ABS (Abajo)BATERIA PRINCIPAL:Capacidad de la batería: 42 WhALIMENTACIÓNPunta redonda de 65 W (3 pines)======|| GARANTÍA Y MÁS ||======GARANTÍA1 año de garantía por defectos de fabricación directamente con LENOVO.*Conservando empaques originales. No cubre daños ocasionados por golpes o mal uso del producto_____________________________",5,"Excelente calidad de sonido, la cancelación de ruido es perfecta y sus funcionalidades son lo que se espera por su precio. La calidad de los materiales están a la altura y son muy cómodos. El aislamiento de sonido es muy bueno, en comparacion con el modelo anterior."
Xiaomi Redmi 13c Dual Sim 256 Gb Clover Green 8 Gb Ram,494900,100,4.8,170,Sony Colombia,"¡Con tu Cortina 100% Blackout Casa Tua, deja la luz del día fuera de tu pieza todo el tiempo que quieras!- Disfruta de la apariencia de unas cortinas tradicionales que te permiten apagar la luz del día con solo cerrarlas.- 2 Paños de 140 x 220 cm Textura Lino y gran caída, no te darás cuenta de qué hora es y le darás un toque elegante a tus ambientes.- Gracias a su NUEVA tecnología de tres capas de tela bondeadas que les da una caída ligera sin sacrificar el filtro de luz.- No son engomadas, son más duraderas y eso ES GENIAL.- El revés es de color neutro para pasar desapercibido.- Aíslan la temperatura para mantener el ambiente fresco en verano y te ayuda a conservar la temperatura interior por más tiempo en invierno, porque ahorrar en calefacción o ventilación a todos nos parece una buena idea.Escoge entre seis hermosos colores que harán juego perfecto con tus espacios.** Hacemos envíos dentro de Colombia según la cobertura de Mercado Libre y aceptamos todos los medios de pago disponibles en Mercadolibre, avalados por Mercadopago de forma rápida, segura y sin costos adicionales**---------------------------------------------------------------------------FICHA TÉCNICA- Materialidad: 3 telas (tipo lino, blackout y de color neutro)- Medidas: 220 cm de largo (incluye las argollas) x 140 cm de ancho por cada pieza- Colores: Beige, Gris Oscuro, Rosado, Café, Gris Claro, AzulSelecciona el color de tu preferencia al momento de agregar al carrito.---------------------------------------------------------------------------QUE VIENE EN LA CAJA- 2 Paños de Cortina 100% Blackout Casa Tua**CASATUA® es distribuida en Colombia y Sudamérica exclusivamente por Builder Commerce SAS**-----------------------------------------------------------------------PREGUNTAS FRECUENTES:¿Cuáles son los medios de pago?> Aceptamos todos los medios de pago disponibles en Mercadolibre:- Tarjeta de Crédito hasta 48 cuotas dependiendo de tu banco- Tarjeta de Débito (Visa y Mastercard)- Con dinero en tu cuenta de Mercadopago- Efectivo en puntos de pago: Efecty- Transferencia desde tu banco: PSE**Todos estos medios de pago son avalados por Mercadopago de forma rápida, segura y sin costos adicionales**¿Los productos tienen garantía?> Sí. Todos nuestros productos cuentan con 6 meses de garantía limitada contra defectos de fabricación. Independiente de nuestra garantía, Mercadolibre ofrece 30 días continuos para devolver tu compra sin importar el motivo.¿Hacen envíos a todo Colombia?> Hacemos envíos dentro de Colombia según la cobertura de Mercado Libre desde Bogotá. Te recomendamos ingresar tu dirección de despacho, para confirmar que llegue a tu ciudad.¿Cuánto se demora mi pedido?> Ingresa la dirección donde recibirás tu compra, para verificar la fecha de entrega. *El tiempo de despacho inicia luego de que tu pago esté aprobado*¿Puedo hacer mi retiro en tienda? > No, pero puedes seleccionar retiro en agencias de Mercado Libre y antes de finalizar tu compra y elegir el punto más cercano.¿El precio indicado incluye IVA?> Si, si incluye IVA el precio publicado.¿Cómo recibir factura a nombre de mi empresa si estoy registrado como persona natural?> Debes ingresar los datos de tu empresa al finalizar tu compra (luego de seleccionar el método de pago, en el Paso Revisa y confirma tu compra, dentro de Detalle de pago, haciendo click en ""Modificar"", al costado de datos para tu recibo de cobro"").Garantía del vendedor: 6 meses",5,"Es de buen enfriamiento, casi no hace ruido. Buen espacio aunque me hubiera gustado que fuese menos estrecha, es muy bonita la nevera y gasta poca energía. 10/10."
Audífonos Sony Bluetooth Noise Cancelling | Wh-1000xm5 Color Azul,1184900,50,4.9,123,Mabe,"Portátil HP 15-ef2517la Ryzen 5 5500U 12GB 512GB HD 15.6”Procesador AMD Ryzen™ de la serie 5000Desempeño supremo. Posibilidades infinitas. Crea. Juega. Trabaja. Enseña. Diviértete. Las posibilidades son infinitas. No importa dónde estés. Los procesadores AMD Ryzen™ de la serie 5000 ofrecen un desempeño supremo, una duración de la batería espectacular y las funciones modernas que necesitas en tus desplazamientos.Mejor experiencia visual, llévala contigo Mira más fotos, videos y proyectos en una pantalla con bisel y microbordes de 6,5 mm.Desempeño confiable Afronta tus días más ajetreados con el desempeño de un procesador confiable y un amplio almacenamiento.Llega más lejos, más rápido La larga duración de la batería y la tecnología HP Fast Charge te permiten trabajar, ver contenido y permanecer conectado durante todo el día.======|| ESPECIFICACIONES DETALLADAS ||======Modelo 15-ef2517laSKU 7H9U4LA#ABMMarca HPColor AzulPROCESADOR:AMD Ryzen 5 5500U6 NUCLEOS / 12 HILOSFRECUENCIA BASE 2.1GHZFREC. MAX NUCLEOS PERFORMANCE 4.0GHzMEMORIA TOTAL:12GB4GB DDR4 + 8GB DDR4 SO-DIMMGRAFICAGráficos AMD Radeon™ALMACENAMIENTO:SSD M.2 NVMe® de 512GBPANTALLA15"" HD (1366x768) 250nits, 45% NTSC 60HzSISTEMA OPERATIVO:Free DOS PUERTOS:1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-C1x HDMI 1.41x 3.5mm Combo Audio Jack1x DC-inDIMENSIONES:35,85 x 24,2 x 1,79 cmA partir de 1.69 KGCÁMARA:HD 720pTECLADO:No Retroiluminado, EspañolAUDIO Y PARLANTES:Altavoces estéreo, 1.5W x2, Dolby AudioCONECTIVIDAD:Intel Wi-Fi 802.11a 1x1 + BT4.2BATERIAIones de litio de 3 celdas y 41 WhALIMENTACIÓNAdaptador de alimentación de CA inteligente de 45 WAviso legal• La duración de la batería depende del uso que se le dé al producto.",5,No trae office es adicional es lo unico asi diferente. No trae huella 😔. 
Nevera No Frost 267 Lts Brutos Black Steel Mabe Rma267fycc 115v,1619900,500,4.9,12,Pctel Bta,El orden de nuestro hogar nos brinda comodidad y bienestar. Este clóset de Stay Elit ofrece la calidad y el diseño que necesitas para cuidar tu ropa y mantener tu dormitorio arreglado.,5,"Excelente y buena tasa de refresco con todo los juegos.  Excelente, económico pero de gran calidad."
"Portátil Asus E1504ga-nj103 Core I3 Ram 8 Gb Ssd 512 Gb 15,6 Color Negro",1200000,500,4.9,35,TECHNOLOGYKINGSTON,"La nueva PS5 ha reducido su volumen en más de un 30% y su peso en un 18% y un 24% respecto a los modelos anteriores. Hay cuatro paneles de cubierta separados, con la parte superior en aspecto brillante, mientras que la parte inferior permanece en mate.Garantía del vendedor: 6 meses",5,Muy bueno muy satisfactorio. Hasta el momento todo en orden diseño calidad capacidad súper boñien. Buen producto a buen precio.
Monitor Gamer LG 27mr400-b 100hz Sin Bordes Amd Freesync Negro,521900,50,4.8,28,MERCADOLIBRE ELECTRONICA_CO,"Es momento de empezar con el cambio y tener un estilo de vida más activa y saludable.Con este producto Home Sale Spinning entrenar es un desafío y superarse la meta. Entrenamiento y saludCon esta bicicleta haz spinning, una de las actividades más completas para realizar en casa o en el gimnasio. La inercia del volante es resistente y permite mayores posibilidades de ejercicio. Diviértete al simular el pedaleo rápido, fuertes subidas de montaña y ejercítate al ritmo de la música.",5,Linda de buena calidad y un buen precio. Por ahora van bien. Muy contento con el producto.
Moto G24 Power Dual Sim 256 Gb Azul Glaciar 8 Gb Ram Motorola,499900,100,4.9,10,CONTINENTE SAS,"Entra en calor. Desconéctate. Sal. No importa en qué dirección te dirijas, esta sudadera adidas es lo que necesitas. Su estilo minimalista y atlético y el tejido de tricot suave te dan comodidad sin importar el ritmo. Sube el cierre, ponte el pantalón estilizado y cómodo y prepárate para el día. Esta sudadera está lista para todo.Este producto, hecho con materiales 100% reciclados, representa solo una de nuestras soluciones para acabar con los residuos plásticos.PREGUNTAS FRECUENTES:ARTÍCULOS UNISEX ó SIN GENERO• Para calzado, recomendamos revisar la equivalencia en talla americana, US-M (Masculino) | US-F (Femenino), en la guía de tallas.• Para vestuario, las prendas unisex se han diseñado y etiquetado según las tallas para hombre, pero están pensadas para que las use cualquier persona, independientemente de su género. Si normalmente no usas tallas para hombre, tal vez tengas que pedir una talla distinta a la que usas habitualmente. Verifica las medidas que aparecen en la guía de tallas.CAMBIOS Y DEVOLUCIONESSi necesitas hacer una devolución, por favor considera los siguientes puntos:• Tienes hasta 30 días calendario para poder solicitar tu devolución, a partir de la fecha de recepción de tu artículo.•  Si no recibes el artícilo tienes 21 días a partir de la fecha de compra para solicitar el reembolso del dinero.•  No hacemos cambios de talla, únicamente reembolsos de tu dinero. •  No aceptamos devoluciones de cubrebocas, tops deportivos, trajes de baño, bodys, shorts de triatlón, calcetines y ropa interior. •  El producto debe estar nuevo, sin uso, con etiquetas y su caja original. Preferentemente en una bolsa negra donde el producto no sea visible y sellada.Si cumples estos requisitos, es muy fácil iniciar tu devolución, ten en cuenta los siguientes puntos:En el detalle de la compra que realizaste tienes que seleccionar las siguientes opciones:1. “Necesito ayuda”.2. “Quiero devolver el producto?”3. ""Es lo que compré pero no me sirve""4. Finalmente selecciona la opción acorde a tu caso para poder iniciar el proceso de devolución. Mercado Libre generará una etiqueta de envío para que puedas imprimir y pegues en el paquete embolsado en su empaque original o en una bolsa negra bien sellada. Deberás llevar el paquete a la sucursal del Correo que te indicarán en la etiqueta.Una vez que recibamos el paquete, se realizará la devolución del dinero a tu cuenta de Mercado Pago o lo verás reflejado en tu próximo resumen de la tarjeta de crédito.ENVÍOS¡Tu envío será gratis a partir de $90.000 COP!Nos encargaremos de despachar tu producto en cuanto tu pedido esté confirmado y podrás ver el avance de tu pedido a través del botón ""Seguir Envío"". TALLASEs importante que revises la Guía de Tallas antes de realizar la compra para asegurarte de estar eligiendo el producto adecuado. Para verla, haz clic donde dice “Guía de Tallas”. PREGUNTAS FRECUENTES • ¿Son productos originales? Somos Tienda Oficial de adidas. Todos nuestros productos son 100% originales. • ¿Hacen factura B2B? No, sólo realizamos factura a consumidor final. • Garantía: Todos nuestros productos cuentan con garantía de fábrica por 90 días. • ¿Se puede retirar los productos en tiendas? La tienda oficial de adidas en Mercado Libre solo realiza envíos al cliente. • ¿El producto está disponible? Sí, todos los productos publicados cuentan con inventario disponible. Podrás ver la cantidad en cada publicación, seleccionando la talla que buscas.",5,"Es tal cual la imagen estoy feliz, aun no lo he instalado, luego de instalado subo videos funcilnando."
Licuadora Ninja Professional Plus Kitchen System With Auto-iq Bn800 72 Fl Oz Negra Y Acero Inoxidable Con Vaso De Plástico 110v - Incluye 5 Accesorios,703900,100,4.8,62,FEGU4799815,"Fire TV Stick de Amazon es uno de los dispositivos streaming más reconocidos a nivel mundial. Sus aplicaciones y poderoso funcionamiento lo vuelven una herramienta única para convertir cualquier pantalla compatible en un smart TV.Calidad de imagenSu compatibilidad con streaming en 4K convierte a este reproductor en la mejor elección a la hora de disfrutar de imágenes nítidas y una calidad sobresaliente, notoriamente superior al HD y Full HD. Su excelencia se refleja en la capacidad de transmitir colores más realistas y con lujo de detalles.Diversión aseguradaEs compatible con distintas plataformas con las cuales accederás a lo mejor del cine, series, música y programas de TV. Manejo simpleA diferencia de los controles estándares, este aparato posee la función de control de voz. Con la misma, manejarlo es muy simple. Responde a tus órdenes con tan solo hablarle.Garantía del vendedor: 30 días",5,Todo excelente.
Lavaplatos Moderno Acero Inoxidable De Lujo Inteligente,1386000,50,4.9,1450,DISTRIMAK,"Fotografía profesional en tu bolsilloDescubre infinitas posibilidades para tus fotos con las 3 cámaras principales de tu equipo. Pon a prueba tu creatividad y juega con la iluminación, diferentes planos y efectos para obtener grandes resultados.Además, el dispositivo cuenta con cámara frontal de 16 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas.Experiencia visual increíbleMira tus series y películas favoritas con la mejor definición a través de su pantalla AMOLED de 6.67"". Disfruta de colores brillantes y detalles precisos en todos tus contenidos.Capacidad y eficienciaCon su potente procesador y memoria RAM de 12 GB tu equipo alcanzará un alto rendimiento con gran velocidad de transmisión de contenidos y ejecutará múltiples aplicaciones a la vez sin demoras.Reconocimiento facial para mayor seguridadAcerca el dispositivo a tu rostro para desbloquearlo instantáneamente. Su precisa tecnología de reconocimiento facial te garantiza un acceso al equipo rápido y seguro.Batería de duración superior¡Desenchúfate! Con la súper batería de 5000 mAh tendrás energía por mucho más tiempo para jugar, ver series o trabajar sin necesidad de realizar recargas.Garantía del vendedor: 6 meses",5,"Tengo sentimientos encontrados, por un lado esta que es de buen material bonita textura, pero por otro lado siento que es demasiado pequeña los dos paños vienen a ser 1 si miramos las cistinas deben quedar con onda como al lado derecho, siento que necesitaría otros dos paños para que se vea bien y pues no se justifica. Adicional el espacio entre aro y aro es demasiado y los aros son muy grandes hacen que cualquier tubo donde se cuelgue parezca una barita. 😀es un buen producto para evitar que la luz entre a mi habitación, ya que yo trabajo en la noche y duermo en dia. ✅para evitar que la luz entre a travez de los ojales en mi caso, doble la cortina y con hilo le hize unas costuras, y quedo solucionado el problema. Excelente, tapa toda la luz, si se puede pegar bien a la pared es como estar de noche a plena luz del día. Si también fuera anti ruido sería perfecta."
Portátil Lenovo Ryzen 5 5500u Ram 24gb Ssd 512gb Fhd,1762950,100,4.5,147,BUILDER CO,"Sony, sin lugar a dudas es una de las marcas más reconocidas en el mundo por la fabricación de dispositivos de audio. Su gama de audífonos se caracteriza por brindar siempre una gran experencia de uso en sus usuarios y ofrecer una alta calidad en todos los componentes de sus reproductores. Esto hace que puedas notar un gran sonido desde su primer uso.El formato perfecto para tiEl diseño over-ear genera una comodidad insuperable gracias a sus suaves almohadillas. Al mismo tiempo, su sonido envolvente del más alto nivel se convierte en el protagonista de la escena.",5,"Era lo que esperaba, cumplió mis expectativas, le doy cuatro estrellas por el momento ya que veremos como se comporta conforme al uso.
Para quien se pregunte del porque es tan económico, es debido a que no trae windows preinstalado sino alguna distribución de linux, en mi caso venía fedora y debian. Yo justamente soy usuario de fedora pero de todas maneras tuve que reinstalarlo ya que venía en una versión algo desactualizada y debian de plano no arrancaba.
Creo que ese es el único ""inconveniente"" que encontré en el producto. De todas maneras lo recomiendo bastante. Funciona bien, era lo que esperaba por relación precio calidad, me gustó."
"Cortina Blackout 100% Anti Luz, 2 Paños 140x220 Textura Lino",125990,5000,4.5,1109,TECNOPLAZA COLOMBIA,"¡Llegar a casa y sacarse los zapatos ahora se sentirá aún mejor! Las pantuflas Hygge de Weps te harán sentir como si caminases en las nubes: últra cómodas, acolchadas, calentitas y prácticas de colocar... Son las pantuflas que necesitas en tu hogar.- Versátiles: Cómodas y resistentes, estas pantuflas cuentan con un diseño con funcionalidad Outdoor e Indoor, es decir son perfectas para utilizar tanto dentro como fuera de tu hogar.- Antideslizantes: nuestras bonitas pantuflas cuentan con una suela antideslizante resistente con un patrón ondulado, que ofrece una tracción confiable en suelos lisos y rugosos, para que puedas moverte por tu casa o al aire libre con confianza y facilidad.- Diseño fácil de colocar: tu eliges como utilizarlas, puedes cubrir tu pie completo utilizando la zapatilla en su formato de diseño, o colocando tu pie modo slip on funcionalidad pensada en tu comodidad.- Aislamiento superior: enfréntate al frío con comodidad y seguridad con las pantuflas Weps, su capa forrada interna te brindará una sensación de confort garantizada.- Aptas para utilizar durante todo el año.- Lavable a máquina: nuestros zapatos de casa son fáciles de limpiar. Lavar a máquina en frío y secar al aire libre.- Diseño Outdoor: las pantuflas cuentan con un diseño outdoor, 100% poliéster repelente del agua.- Plantilla más cómoda: Sentirás que caminas por las nubes cada vez que te las pongas, su planilla de goma más acolchada y cómoda hará que no te las quieras quitar más.- Las pantuflas Weps le brindarán a tus pies el descanso que merecen tras un largo día de trabajo.** Hacemos envíos dentro de Colombia según la cobertura de Mercado Libre y aceptamos todos los medios de pago disponibles en Mercadolibre, avalados por Mercadopago de forma rápida, segura y sin costos adicionales**-----------------------------------------------------------------------FICHA TÉCNICA- Par zapatillas de casa Weps.- Revisar tu talla correspondiente en la tabla guía ubicada en las imágenes.- Colores disponibles: Morado, Negro y Verde Militar.- Funda: Poliéster.- Suela antideslizante - Aptas para utilizar durante todo el año.- Resistente a diferentes superficies. - Capa exterior repele el agua (no es impermeable)- Suela con diseño de tracción.- Relleno térmico.- Cómodas y livianas.- Ideales para interior y exterior.-----------------------------------------------------------------------QUE VIENE EN LA CAJA- Pantuflas Weps.**WEPS® es distribuida en Colombia y Sudamérica exclusivamente por Builder Commerce SAS**-----------------------------------------------------------------------PREGUNTAS FRECUENTES¿Cuáles son los medios de pago?> Aceptamos todos los medios de pago disponibles en Mercadolibre:- Tarjeta de Crédito hasta 48 cuotas dependiendo de tu banco- Tarjeta de Débito (Visa y Mastercard)- Con dinero en tu cuenta de Mercadopago- Efectivo en puntos de pago: Efecty- Transferencia desde tu banco: PSE**Todos estos medios de pago son avalados por Mercadopago de forma rápida, segura y sin costos adicionales**¿Hacen envíos a todo Colombia?> Hacemos envíos dentro de Colombia según la cobertura de Mercado Libre desde Bogotá. Te recomendamos ingresar tu dirección de despacho, para confirmar que llegue a tu ciudad.¿Cuánto se demora mi pedido?> Ingresa la dirección donde recibirás tu compra, para verificar la fecha de entrega. *El tiempo de despacho inicia luego de que tu pago esté aprobado*¿Puedo hacer mi retiro en tienda? > No, pero puedes seleccionar retiro en agencias de Mercado Libre y antes de finalizar tu compra y elegir el punto más cercano.¿El precio indicado incluye IVA?> Si, si incluye IVA el precio publicado.¿Cómo recibir factura a nombre de mi empresa si estoy registrado como persona natural?> Debes ingresar los datos de tu empresa al finalizar tu compra (luego de seleccionar el método de pago, en el Paso Revisa y confirma tu compra, dentro de Detalle de pago, haciendo click en ""Modificar"", al costado de datos para tu recibo de cobro"").¿Los productos tienen garantía?> Sí. Todos nuestros productos cuentan con 6 meses de garantía limitada contra defectos de fabricación. Independiente de nuestra garantía, Mercadolibre ofrece 30 días continuos para devolver tu compra sin importar el motivo.",5,"Excelente producto, fácil de armar , resistente, económico. Me encantó. Compré 2 armarios 1 me salió bueno todo bien cuidado, pero el otro me vinos con unos tubos aplastados. Al hacer fuerza en uno de los tubos para que entrara bien en las inhibes, se dobló, listo en general es bien producto."
Portátil HP 15-ef2517la Amd Ryzen 5-5500U 12GB 512GB SSD FreeDOS,1419000,500,4.8,102,ISISHOP SAS,"La tecnología inspira a Electrolux en el diseño de los mejores productos de cuidado y limpieza, para que puedas disfrutar de un ambiente saludable. A prueba de alergiasCuenta con un eficiente sistema de filtrado que retiene la suciedad y hace que el aire que sale del aparato sea totalmente puro y libre de partículas que producen molestias respiratorias.ComplementosEsta aspiradora incluye los siguientes accesorios: boquilla rinconera, boquilla para suelos, varilla extraíble, boquilla para hendiduras.Garantía del vendedor: 12 meses",5,"Todo en orden, la consola es japonesa, pero ni tiene ninguna implicación mas allá de que la caja está en japonés. (foto en mi repisa). Producto en perfecto estado, tal cual es mencionado en la descripción. Es cierto que el manual viene en japonés, pero no debería ser un problema. Estoy contento con mi compra. Gracias!."
